video,index,index of user operation frame,index of response frame,index of finish frame,index of end frame,response time(ms),finish time(ms)
popular_study-art_and_design-pixel_art_paint-scenario2-video,7,148,152,162,164,105,323
popular_study-art_and_design-pixel_art_paint-scenario2-video,8,165,178,198,228,230,608
popular_study-art_and_design-pixel_art_paint-scenario2-video,9,229,244,323,324,280,1983
popular_study-art_and_design-pixel_art_paint-scenario2-video,10,325,341,349,375,257,394
popular_study-auto_and_vehicles-car_part-scenario1-video,1,1,11,29,32,199,508
popular_study-auto_and_vehicles-car_part-scenario1-video,2,33,48,65,68,310,592
popular_study-auto_and_vehicles-car_part-scenario1-video,3,69,75,91,107,145,410
popular_study-auto_and_vehicles-car_part-scenario1-video,4,108,122,140,159,299,600
popular_study-auto_and_vehicles-car_part-scenario1-video,5,160,171,187,191,263,531
popular_study-auto_and_vehicles-car_part-scenario1-video,6,192,202,214,230,165,365
popular_study-auto_and_vehicles-car_part-scenario1-video,7,231,247,258,290,351,585
popular_study-auto_and_vehicles-car_part-scenario1-video,8,291,300,313,320,252,601
popular_study-auto_and_vehicles-car_part-scenario1-video,9,321,323,323,334,112,112
popular_study-auto_and_vehicles-car_part-scenario1-video,10,335,339,339,341,129,129
popular_study-auto_and_vehicles-car_part-scenario1-video,11,342,346,346,353,99,99
popular_study-auto_and_vehicles-car_part-scenario1-video,12,354,355,355,363,74,74
popular_study-auto_and_vehicles-car_part-scenario1-video,13,364,366,366,373,78,78
popular_study-auto_and_vehicles-car_part-scenario1-video,14,374,376,376,383,83,83
popular_study-auto_and_vehicles-car_part-scenario1-video,15,384,391,403,413,182,428
popular_study-auto_and_vehicles-car_part-scenario1-video,16,414,419,576,578,155,2952
popular_study-auto_and_vehicles-car_part-scenario1-video,17,579,600,607,618,483,1100
popular_study-auto_and_vehicles-car_part-scenario2-video,1,2,14,33,49,253,572
popular_study-auto_and_vehicles-car_part-scenario2-video,2,50,63,82,83,266,585
popular_study-auto_and_vehicles-car_part-scenario2-video,3,84,88,88,132,146,146
popular_study-auto_and_vehicles-car_part-scenario2-video,4,133,150,167,186,283,566
popular_study-auto_and_vehicles-car_part-scenario2-video,5,187,198,214,231,248,517
popular_study-auto_and_vehicles-car_part-scenario2-video,6,232,237,237,299,173,173
popular_study-auto_and_vehicles-car_part-scenario2-video,7,300,312,322,347,250,453
popular_study-auto_and_vehicles-car_part-scenario2-video,8,348,358,368,378,292,561
popular_study-auto_and_vehicles-car_part-scenario2-video,9,379,380,380,391,38,38
popular_study-auto_and_vehicles-car_part-scenario2-video,10,392,396,396,398,115,115
popular_study-auto_and_vehicles-car_part-scenario2-video,11,399,403,403,409,105,105
popular_study-auto_and_vehicles-car_part-scenario2-video,12,410,413,413,421,104,104
popular_study-auto_and_vehicles-car_part-scenario2-video,13,422,426,426,433,100,100
popular_study-auto_and_vehicles-car_part-scenario2-video,14,434,436,436,444,95,95
popular_study-auto_and_vehicles-car_part-scenario2-video,15,445,449,586,601,134,2734
popular_study-auto_and_vehicles-car_part-scenario2-video,16,602,609,626,644,162,443
popular_study-auto_and_vehicles-car_part-scenario2-video,17,645,651,664,685,179,419
popular_study-auto_and_vehicles-car_part-scenario2-video,18,686,688,704,739,53,313
popular_study-auto_and_vehicles-car_part-scenario2-video,19,740,754,808,821,300,1217
popular_study-auto_and_vehicles-cdl-scenario1-video,1,2,5,38,49,85,629
popular_study-auto_and_vehicles-cdl-scenario1-video,2,50,53,85,99,83,614
popular_study-auto_and_vehicles-cdl-scenario1-video,3,100,106,131,144,110,529
popular_study-auto_and_vehicles-cdl-scenario1-video,4,145,149,149,190,90,90
popular_study-auto_and_vehicles-cdl-scenario1-video,5,191,197,255,257,143,1132
popular_study-auto_and_vehicles-cdl-scenario1-video,6,258,262,324,326,137,1181
popular_study-auto_and_vehicles-cdl-scenario1-video,7,327,331,335,351,112,177
popular_study-auto_and_vehicles-cdl-scenario1-video,8,352,372,393,426,391,861
popular_study-auto_and_vehicles-cdl-scenario1-video,9,427,436,465,484,210,866
popular_study-auto_and_vehicles-cdl-scenario1-video,10,485,489,499,499,151,383
popular_study-auto_and_vehicles-cdl-scenario1-video,11,500,508,546,547,200,1050
popular_study-auto_and_vehicles-cdl-scenario1-video,12,548,553,563,563,141,374
popular_study-auto_and_vehicles-cdl-scenario2-video,1,1,3,25,33,81,497
popular_study-auto_and_vehicles-cdl-scenario2-video,2,34,37,55,81,123,484
popular_study-auto_and_vehicles-cdl-scenario2-video,3,82,87,102,118,118,368
popular_study-auto_and_vehicles-cdl-scenario2-video,4,119,145,157,179,486,765
popular_study-auto_and_vehicles-cdl-scenario2-video,5,180,190,200,208,233,449
popular_study-auto_and_vehicles-cdl-scenario2-video,6,209,228,302,303,321,2122
popular_study-auto_and_vehicles-cdl-scenario2-video,7,304,309,348,367,82,882
popular_study-auto_and_vehicles-cdl-scenario2-video,8,368,382,390,407,309,443
popular_study-auto_and_vehicles-cdl-scenario2-video,9,408,410,431,457,97,474
popular_study-auto_and_vehicles-cdl-scenario2-video,10,458,461,480,507,136,525
popular_study-auto_and_vehicles-cdl-scenario2-video,11,508,508,508,519,0,0
popular_study-auto_and_vehicles-cdl-scenario2-video,12,520,520,520,531,0,0
popular_study-auto_and_vehicles-cdl-scenario2-video,13,532,545,553,575,267,402
popular_study-auto_and_vehicles-cdl-scenario2-video,14,576,593,616,658,361,1124
popular_study-auto_and_vehicles-cdl-scenario2-video,15,659,662,689,747,72,513
popular_study-auto_and_vehicles-cdl-scenario2-video,16,748,752,799,834,113,901
popular_study-beauty-senelook-scenario1-video,1,1,4,5,5,99,112
popular_study-beauty-senelook-scenario1-video,2,6,8,35,35,32,474
popular_study-beauty-senelook-scenario1-video,3,36,43,61,61,200,669
popular_study-beauty-senelook-scenario1-video,4,62,65,92,92,140,2035
popular_study-beauty-senelook-scenario1-video,5,93,97,127,127,97,629
popular_study-beauty-senelook-scenario1-video,6,128,129,512,527,66,6521
popular_study-beauty-senelook-scenario1-video,7,528,531,555,599,91,482
popular_study-beauty-senelook-scenario1-video,8,600,604,655,659,119,990
popular_study-beauty-senelook-scenario1-video,9,660,667,675,687,157,339
popular_study-beauty-senelook-scenario1-video,10,688,692,703,704,136,351
popular_study-beauty-senelook-scenario1-video,11,705,707,709,750,64,100
popular_study-beauty-senelook-scenario1-video,12,751,753,775,785,99,477
popular_study-beauty-senelook-scenario1-video,13,786,793,803,809,185,731
popular_study-beauty-senelook-scenario1-video,14,810,817,829,829,181,403
popular_study-beauty-senelook-scenario1-video,15,830,833,855,866,97,463
popular_study-beauty-senelook-scenario1-video,16,867,880,905,909,265,694
popular_study-beauty-senelook-scenario2-video,1,1,28,250,290,467,5717
popular_study-beauty-senelook-scenario2-video,2,291,295,310,328,93,1298
popular_study-beauty-senelook-scenario2-video,3,329,333,342,342,134,284
popular_study-beauty-senelook-scenario2-video,4,343,346,384,384,144,2845
popular_study-beauty-senelook-scenario2-video,5,385,386,428,428,48,904
popular_study-beauty-senelook-scenario2-video,6,429,432,457,457,75,832
popular_study-beauty-senelook-scenario2-video,7,458,468,479,492,184,2381
popular_study-beauty-senelook-scenario2-video,8,493,504,520,533,250,547
popular_study-beauty-senelook-scenario2-video,9,534,534,534,581,0,0
popular_study-beauty-senelook-scenario2-video,10,582,582,582,626,0,0
popular_study-beauty-senelook-scenario2-video,11,627,633,633,665,112,112
popular_study-beauty-senelook-scenario2-video,12,666,668,673,718,33,121
popular_study-beauty-senelook-scenario2-video,13,719,727,739,789,164,361
popular_study-beauty-senelook-scenario2-video,14,790,799,836,844,247,1394
popular_study-beauty-senelook-scenario2-video,15,845,860,871,882,250,435
popular_study-beauty-senelook-scenario2-video,16,883,884,894,912,47,231
popular_study-beauty-senelook-scenario2-video,17,913,927,938,944,238,422
popular_study-beauty-sephora-scenario1-video,1,1,3,22,57,62,374
popular_study-beauty-sephora-scenario1-video,2,58,63,80,90,124,451
popular_study-beauty-sephora-scenario1-video,3,91,95,120,122,85,734
popular_study-beauty-sephora-scenario1-video,4,123,127,164,164,88,788
popular_study-beauty-sephora-scenario1-video,5,165,186,243,243,411,1563
popular_study-beauty-sephora-scenario1-video,6,244,265,317,317,413,1861
popular_study-beauty-sephora-scenario1-video,7,318,327,331,331,227,294
popular_study-beauty-sephora-scenario1-video,8,332,334,378,378,87,1483
popular_study-beauty-sephora-scenario1-video,9,379,399,436,437,361,1076
popular_study-beauty-sephora-scenario1-video,10,438,456,485,485,310,832
popular_study-beauty-sephora-scenario2-video,1,1,13,34,35,246,736
popular_study-beauty-sephora-scenario2-video,2,36,37,40,50,31,119
popular_study-beauty-sephora-scenario2-video,3,51,52,55,63,25,99
popular_study-beauty-sephora-scenario2-video,4,64,65,72,73,27,135
popular_study-beauty-sephora-scenario2-video,5,74,75,79,90,18,87
popular_study-beauty-sephora-scenario2-video,6,91,98,104,104,193,614
popular_study-beauty-sephora-scenario2-video,7,105,108,112,117,99,183
popular_study-beauty-sephora-scenario2-video,8,118,121,127,134,91,218
popular_study-beauty-sephora-scenario2-video,9,135,142,216,216,170,1784
popular_study-beauty-sephora-scenario2-video,10,217,219,237,269,101,417
popular_study-beauty-sephora-scenario2-video,11,270,271,310,320,97,830
popular_study-beauty-sephora-scenario2-video,12,321,336,367,370,306,2110
popular_study-beauty-sephora-scenario2-video,13,371,381,429,430,239,2122
popular_study-beauty-sephora-scenario2-video,14,431,434,444,456,105,357
popular_study-beauty-sephora-scenario2-video,15,457,459,487,488,75,891
popular_study-beauty-sephora-scenario2-video,16,489,495,519,520,179,705
popular_study-beauty-sephora-scenario2-video,17,521,527,540,541,180,419
popular_study-beauty-sephora-scenario2-video,18,542,543,583,583,19,716
popular_study-beauty-sephora-scenario2-video,19,584,588,626,637,109,745
popular_study-beauty-sephora-scenario2-video,20,638,653,708,709,337,1667
popular_study-beauty-sephora-scenario2-video,21,710,732,772,778,412,1494
popular_study-beauty-sephora-scenario2-video,22,779,783,840,862,118,1084
popular_study-beauty-sephora-scenario2-video,23,863,881,890,895,306,455
popular_study-books_and_reference-bible_app-scenario1-video,1,62,69,82,95,133,387
popular_study-books_and_reference-bible_app-scenario1-video,2,96,103,136,138,157,704
popular_study-books_and_reference-bible_app-scenario1-video,3,139,156,177,180,299,654
popular_study-books_and_reference-bible_app-scenario1-video,4,181,184,209,213,104,519
popular_study-books_and_reference-bible_app-scenario1-video,5,214,219,246,252,99,548
popular_study-books_and_reference-bible_app-scenario1-video,6,253,255,277,288,92,450
popular_study-books_and_reference-bible_app-scenario1-video,7,289,304,346,351,261,1525
popular_study-books_and_reference-bible_app-scenario1-video,8,352,360,375,395,161,425
popular_study-books_and_reference-bible_app-scenario1-video,9,396,412,448,449,365,1009
popular_study-books_and_reference-bible_app-scenario1-video,10,450,463,486,488,235,624
popular_study-books_and_reference-bible_app-scenario1-video,11,489,493,512,522,68,382
popular_study-books_and_reference-bible_app-scenario1-video,12,523,534,555,559,195,603
popular_study-books_and_reference-bible_app-scenario1-video,13,560,575,591,607,254,516
popular_study-books_and_reference-bible_app-scenario2-video,1,1,19,54,62,310,1247
popular_study-books_and_reference-bible_app-scenario2-video,2,63,67,115,126,103,915
popular_study-books_and_reference-bible_app-scenario2-video,3,127,130,140,175,90,250
popular_study-books_and_reference-bible_app-scenario2-video,4,176,180,208,228,82,535
popular_study-books_and_reference-bible_app-scenario2-video,5,229,233,255,281,71,435
popular_study-books_and_reference-bible_app-scenario2-video,6,282,291,317,381,207,658
popular_study-books_and_reference-bible_app-scenario2-video,7,382,389,420,451,141,781
popular_study-books_and_reference-bible_app-scenario2-video,8,452,455,471,522,65,332
popular_study-books_and_reference-bible_app-scenario2-video,9,523,526,577,597,82,945
popular_study-books_and_reference-bible_app-scenario2-video,10,598,601,625,649,70,476
popular_study-books_and_reference-bible_app-scenario2-video,11,650,663,678,693,263,1735
popular_study-books_and_reference-bible_app-scenario2-video,12,694,715,748,752,413,1499
popular_study-books_and_reference-bible_app-scenario2-video,13,753,760,772,806,157,354
popular_study-books_and_reference-bible_app-scenario2-video,14,807,816,871,871,245,1766
popular_study-books_and_reference-bible_app-scenario2-video,15,872,893,922,956,434,1039
popular_study-books_and_reference-king_james_bible-scenario1-video,1,2,4,4,40,97,97
popular_study-books_and_reference-king_james_bible-scenario1-video,2,41,43,102,117,85,1078
popular_study-books_and_reference-king_james_bible-scenario1-video,3,118,122,158,166,121,718
popular_study-books_and_reference-king_james_bible-scenario1-video,4,167,178,190,199,232,494
popular_study-books_and_reference-king_james_bible-scenario1-video,5,200,215,222,232,298,419
popular_study-books_and_reference-king_james_bible-scenario1-video,6,233,257,270,277,450,736
popular_study-books_and_reference-king_james_bible-scenario1-video,7,278,290,300,310,272,491
popular_study-books_and_reference-king_james_bible-scenario1-video,8,311,330,339,352,319,520
popular_study-books_and_reference-king_james_bible-scenario1-video,9,353,355,387,388,78,608
popular_study-books_and_reference-king_james_bible-scenario1-video,10,389,401,420,429,250,1859
popular_study-books_and_reference-king_james_bible-scenario1-video,11,430,441,452,460,197,379
popular_study-books_and_reference-king_james_bible-scenario1-video,12,461,477,489,493,279,480
popular_study-books_and_reference-king_james_bible-scenario1-video,13,494,503,517,547,152,386
popular_study-books_and_reference-king_james_bible-scenario1-video,14,548,554,575,602,158,509
popular_study-books_and_reference-king_james_bible-scenario1-video,15,603,607,633,645,134,568
popular_study-books_and_reference-king_james_bible-scenario1-video,16,646,661,675,681,262,567
popular_study-books_and_reference-king_james_bible-scenario1-video,17,682,695,706,716,227,417
popular_study-books_and_reference-king_james_bible-scenario2-video,1,1,3,15,15,76,273
popular_study-books_and_reference-king_james_bible-scenario2-video,2,16,18,40,65,51,416
popular_study-books_and_reference-king_james_bible-scenario2-video,3,66,68,80,86,57,267
popular_study-books_and_reference-king_james_bible-scenario2-video,4,87,90,103,121,98,312
popular_study-books_and_reference-king_james_bible-scenario2-video,5,122,124,124,156,110,110
popular_study-books_and_reference-king_james_bible-scenario2-video,6,157,185,198,205,513,821
popular_study-books_and_reference-king_james_bible-scenario2-video,7,206,209,221,242,118,315
popular_study-books_and_reference-king_james_bible-scenario2-video,8,243,245,251,278,98,197
popular_study-books_and_reference-king_james_bible-scenario2-video,9,279,282,297,314,62,310
popular_study-books_and_reference-king_james_bible-scenario2-video,10,315,320,371,371,107,951
popular_study-books_and_reference-king_james_bible-scenario2-video,11,372,374,423,428,48,955
popular_study-books_and_reference-king_james_bible-scenario2-video,12,429,433,467,469,109,719
popular_study-books_and_reference-king_james_bible-scenario2-video,13,470,474,527,531,110,1049
popular_study-books_and_reference-king_james_bible-scenario2-video,14,532,539,548,555,169,334
popular_study-books_and_reference-king_james_bible-scenario2-video,15,556,561,561,571,136,136
popular_study-books_and_reference-king_james_bible-scenario2-video,16,572,575,575,587,83,83
popular_study-books_and_reference-king_james_bible-scenario2-video,17,588,590,590,604,83,83
popular_study-books_and_reference-king_james_bible-scenario2-video,18,605,610,619,620,117,266
popular_study-books_and_reference-king_james_bible-scenario2-video,19,621,626,633,637,98,216
popular_study-books_and_reference-king_james_bible-scenario2-video,20,638,663,763,764,484,2175
popular_study-business-indeed-scenario1-video,1,1,7,21,30,134,368
popular_study-business-indeed-scenario1-video,2,31,35,41,42,98,225
popular_study-business-indeed-scenario1-video,3,43,45,47,60,84,132
popular_study-business-indeed-scenario1-video,4,61,69,71,84,140,171
popular_study-business-indeed-scenario1-video,5,85,86,89,101,45,128
popular_study-business-indeed-scenario1-video,6,102,109,162,164,166,2330
popular_study-business-indeed-scenario1-video,7,165,180,189,190,310,526
popular_study-business-indeed-scenario1-video,8,191,196,208,231,165,1063
popular_study-business-indeed-scenario1-video,9,232,241,265,266,199,3415
popular_study-business-indeed-scenario1-video,10,267,275,314,316,207,1118
popular_study-business-indeed-scenario1-video,11,317,329,336,351,271,422
popular_study-business-indeed-scenario1-video,12,352,352,352,373,0,0
popular_study-business-indeed-scenario1-video,13,374,380,391,418,198,858
popular_study-business-indeed-scenario1-video,14,419,426,508,515,173,1947
popular_study-business-indeed-scenario1-video,15,516,523,574,580,116,974
popular_study-business-indeed-scenario1-video,16,581,587,602,602,218,466
popular_study-business-indeed-scenario2-video,1,1,6,19,28,125,338
popular_study-business-indeed-scenario2-video,2,29,33,37,37,139,199
popular_study-business-indeed-scenario2-video,3,38,48,49,56,169,199
popular_study-business-indeed-scenario2-video,4,57,62,62,85,149,149
popular_study-business-indeed-scenario2-video,5,86,87,90,101,31,89
popular_study-business-indeed-scenario2-video,6,102,109,148,167,183,1367
popular_study-business-indeed-scenario2-video,7,168,181,190,190,298,519
popular_study-business-indeed-scenario2-video,8,191,197,231,232,216,1259
popular_study-business-indeed-scenario2-video,9,233,242,250,264,203,372
popular_study-business-indeed-scenario2-video,10,265,271,306,308,222,1256
popular_study-business-indeed-scenario2-video,11,309,316,334,335,141,444
popular_study-business-indeed-scenario2-video,12,336,346,364,366,221,2101
popular_study-business-indeed-scenario2-video,13,367,372,406,408,183,1117
popular_study-business-indeed-scenario2-video,14,409,416,442,442,230,1935
popular_study-business-indeed-scenario2-video,15,443,446,496,498,85,923
popular_study-business-indeed-scenario2-video,16,499,503,557,570,103,1370
popular_study-business-indeed-scenario2-video,17,571,586,598,615,300,499
popular_study-business-indeed-scenario2-video,18,616,622,660,670,149,781
popular_study-business-indeed-scenario2-video,19,671,671,671,681,0,0
popular_study-business-indeed-scenario2-video,20,682,686,702,719,150,549
popular_study-business-ups-scenario1-video,1,44,46,67,79,80,430
popular_study-business-ups-scenario1-video,2,80,94,135,141,329,1029
popular_study-business-ups-scenario1-video,3,142,151,156,181,210,293
popular_study-business-ups-scenario1-video,4,182,183,184,197,23,40
popular_study-business-ups-scenario1-video,5,198,203,206,206,133,183
popular_study-business-ups-scenario1-video,6,207,212,217,217,99,218
popular_study-business-ups-scenario1-video,7,218,222,223,232,89,107
popular_study-business-ups-scenario1-video,8,233,237,239,245,94,129
popular_study-business-ups-scenario1-video,9,246,249,251,258,102,137
popular_study-business-ups-scenario1-video,10,259,263,345,347,129,2766
popular_study-business-ups-scenario1-video,11,348,365,381,409,585,879
popular_study-business-ups-scenario1-video,12,410,412,479,496,51,1229
popular_study-business-ups-scenario1-video,13,497,516,545,560,381,1067
popular_study-business-ups-scenario1-video,14,561,575,587,611,340,595
popular_study-business-ups-scenario1-video,15,612,621,633,644,160,355
popular_study-business-ups-scenario1-video,16,645,667,683,687,368,1971
popular_study-business-ups-scenario1-video,17,688,692,706,741,69,309
popular_study-business-ups-scenario1-video,18,742,747,795,813,109,932
popular_study-business-ups-scenario1-video,19,814,817,822,867,98,194
popular_study-business-ups-scenario1-video,20,868,871,886,909,115,372
popular_study-business-ups-scenario1-video,21,910,917,927,966,134,308
popular_study-business-ups-scenario2-video,1,1,4,50,54,92,860
popular_study-business-ups-scenario2-video,2,55,85,316,317,610,4806
popular_study-business-ups-scenario2-video,3,318,331,340,347,279,426
popular_study-business-ups-scenario2-video,4,348,352,358,358,115,284
popular_study-business-ups-scenario2-video,5,359,364,372,372,110,277
popular_study-business-ups-scenario2-video,6,373,379,379,379,152,152
popular_study-business-ups-scenario2-video,7,380,386,395,395,115,281
popular_study-business-ups-scenario2-video,8,396,405,411,411,240,1236
popular_study-business-ups-scenario2-video,9,412,417,428,429,129,1129
popular_study-business-ups-scenario2-video,10,430,433,440,440,112,266
popular_study-business-ups-scenario2-video,11,441,446,453,453,116,267
popular_study-business-ups-scenario2-video,12,454,458,469,469,108,1114
popular_study-business-ups-scenario2-video,13,470,473,510,511,108,1050
popular_study-business-ups-scenario2-video,14,512,522,531,531,178,680
popular_study-business-ups-scenario2-video,15,532,535,564,566,104,738
popular_study-business-ups-scenario2-video,16,567,583,588,601,311,383
popular_study-business-ups-scenario2-video,17,602,603,603,613,35,35
popular_study-business-ups-scenario2-video,18,614,619,623,623,144,230
popular_study-business-ups-scenario2-video,19,624,630,636,636,160,306
popular_study-business-ups-scenario2-video,20,637,641,648,648,121,616
popular_study-business-ups-scenario2-video,21,649,653,672,672,138,480
popular_study-business-ups-scenario2-video,22,673,677,689,689,117,2619
popular_study-business-ups-scenario2-video,23,690,692,692,694,64,64
popular_study-business-ups-scenario2-video,24,695,721,721,721,3004,3004
popular_study-business-ups-scenario2-video,25,722,739,750,750,367,631
popular_study-business-ups-scenario2-video,26,751,756,767,770,171,448
popular_study-business-ups-scenario2-video,27,771,786,812,812,352,1187
popular_study-business-ups-scenario2-video,28,813,814,830,830,34,997
popular_study-business-ups-scenario2-video,29,831,839,845,845,146,273
popular_study-business-ups-scenario2-video,30,846,849,862,862,122,400
popular_study-business-ups-scenario2-video,31,863,869,876,876,140,303
popular_study-business-ups-scenario2-video,32,877,881,887,887,135,292
popular_study-business-ups-scenario2-video,33,888,892,917,917,142,2026
popular_study-business-ups-scenario2-video,34,918,926,926,945,157,157
popular_study-business-ups-scenario2-video,35,946,950,960,962,111,565
popular_study-business-ups-scenario2-video,36,963,972,978,982,207,414
popular_study-business-ups-scenario2-video,37,983,988,1013,1013,140,1654
popular_study-business-ups-scenario2-video,38,1014,1018,1025,1025,131,282
popular_study-business-ups-scenario2-video,39,1026,1027,1030,1039,15,130
popular_study-business-ups-scenario2-video,40,1040,1045,1077,1077,138,3156
popular_study-business-ups-scenario2-video,41,1078,1082,1090,1090,129,519
popular_study-business-ups-scenario2-video,42,1091,1094,1104,1104,94,1627
popular_study-business-ups-scenario2-video,43,1105,1114,1186,1189,212,1730
popular_study-business-ups-scenario2-video,44,1190,1204,1253,1253,281,2481
popular_study-business-ups-scenario2-video,45,1254,1257,1313,1313,77,1011
popular_study-comics-line_webtoon-scenario1-video,1,2,15,32,37,291,686
popular_study-comics-line_webtoon-scenario1-video,2,38,41,49,49,98,363
popular_study-comics-line_webtoon-scenario1-video,3,50,58,65,65,185,354
popular_study-comics-line_webtoon-scenario1-video,4,66,69,78,78,96,295
popular_study-comics-line_webtoon-scenario1-video,5,79,81,82,87,101,132
popular_study-comics-line_webtoon-scenario1-video,6,88,94,95,100,155,173
popular_study-comics-line_webtoon-scenario1-video,7,101,106,134,134,119,2395
popular_study-comics-line_webtoon-scenario1-video,8,135,141,152,152,173,618
popular_study-comics-line_webtoon-scenario1-video,9,153,160,200,201,255,1142
popular_study-comics-line_webtoon-scenario1-video,10,202,226,259,259,442,992
popular_study-comics-line_webtoon-scenario1-video,11,260,275,316,316,325,2233
popular_study-comics-line_webtoon-scenario1-video,12,317,366,377,383,1711,1969
popular_study-comics-line_webtoon-scenario1-video,13,384,402,415,415,319,717
popular_study-comics-line_webtoon-scenario1-video,14,416,443,454,462,781,1036
